command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
111001,111,1,1,118511,202,-273,-345,2,0,wac_215_karin_idle_normal
111002,111,1,1,105811,205,170,-355,2,1,wac_215_idle_joy1
111003,111,1,1,105911,202,50,-325,2,1,wac_215_idle_normal_joy
111004,111,1,1,106011,203,300,-330,2,1,wac_215_idle_arm_crossed
111005,111,1,1,106431,204,450,-360,2,1,wac_215_idle_normal2
111006,111,131,1,"","","","","","",""
112001,112,93,1,0,"","","","","",""
112002,112,3,118511,wac_215_karin_talk_normal,1,"","",0.2,"",""
112003,112,21,vo_wac_220215,vo_wac_220215_000,0,0,"","","",""
112004,112,11,118511,"【美食殿】のみなさん、\n来ていただいてありがとうございます！",10,1,1,0,0,0.5
112005,112,91,112004,"","","","","","",""
112006,112,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
112007,112,3,105811,wac_215_peko_oissu,0,wac_215_talk_normal,1,0.2,0.2,""
112008,112,21,vo_wac_220215,vo_wac_220215_001,0,0,"","","",""
112009,112,11,105811,"カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。",10,1,1,0,0,0.5
112010,112,91,112009,"","","","","","",""
112011,112,3,105811,wac_215_idle_normal,1,"","",0.2,"",""
112012,112,3,118511,wac_215_karin_talk_normal,1,"","",0.2,"",""
112013,112,21,vo_wac_220215,vo_wac_220215_002,0,0,"","","",""
112014,112,11,118511,"今日はみなさんにお願いしたい\n重要な依頼があるんです。",10,1,1,0,0,0.5
112015,112,91,112014,"","","","","","",""
112016,112,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
112017,112,3,106011,wac_215_talk_arm_crossed,0,wac_215_talk_arm_crossed_loop,1,0.2,0,""
112018,112,21,vo_wac_220215,vo_wac_220215_003,0,0,"","","",""
112019,112,11,106011,"重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……",10,1,1,0,0,0.5
112020,112,91,112019,"","","","","","",""
112021,112,3,106011,wac_215_idle_arm_crossed,1,"","",0.2,"",""
112022,112,3,118511,wac_215_karin_talk_normal,1,"","",0.2,"",""
112023,112,21,vo_wac_220215,vo_wac_220215_004,0,0,"","","",""
112024,112,11,118511,"実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。",10,1,1,0,0,0.5
112025,112,91,112024,"","","","","","",""
112026,112,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
112027,112,3,106431,wac_215_shefy_humu,0,wac_215_talk_normal,1,0.2,0.2,""
112028,112,21,vo_wac_220215,vo_wac_220215_005,0,0,"","","",""
112029,112,11,106431,"ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？",10,1,1,0,0,0.5
112030,112,91,112029,"","","","","","",""
112031,112,3,106431,wac_215_idle_normal2_joy,1,"","",0.2,"",""
112032,112,3,118511,wac_215_karin_talk_normal,1,"","",0.2,"",""
112033,112,21,vo_wac_220215,vo_wac_220215_006,0,0,"","","",""
112034,112,11,118511,"はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。",10,1,1,0,0,0.5
112035,112,91,112034,"","","","","","",""
112036,112,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
112037,112,3,106431,wac_215_talk_sad,1,"","",0.2,"",""
112038,112,21,vo_wac_220215,vo_wac_220215_007,0,0,"","","",""
112039,112,11,106431,"え？　ランドソルの壁を……\nぐるっと一周？",10,1,1,0,0,0.5
112040,112,91,112039,"","","","","","",""
112041,112,3,106431,wac_215_idle_sad,1,"","",0.2,"",""
112042,112,3,118511,wac_215_karin_talk_wish,1,"","",0.2,"",""
112043,112,21,vo_wac_220215,vo_wac_220215_008,0,0,"","","",""
112044,112,11,118511,"はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？",10,1,1,0,0,0.5
112045,112,91,112044,"","","","","","",""
112046,112,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
112047,112,3,105911,wac_215_coccoro_talk_wish,1,"","",0.2,"",""
112048,112,21,vo_wac_220215,vo_wac_220215_009,0,0,"","","",""
112049,112,11,105911,"それは……壮大な計画でございますね。\nカリンさま。",10,1,1,0,0,0.5
112050,112,91,112049,"","","","","","",""
112051,112,3,105911,wac_215_coccoro_idle_wish,1,"","",0.2,"",""
112052,112,3,105811,wac_215_peko_talk_guts2,0,wac_215_peko_talk_guts2_loop,1,0.2,0,""
112053,112,21,vo_wac_220215,vo_wac_220215_010,0,0,"","","",""
112054,112,11,105811,"わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪",10,1,1,0,0,0.5
112055,112,91,112054,"","","","","","",""
112056,112,3,105811,wac_215_peko_idle_guts2,1,"","",0.2,"",""
112057,112,4,105811,0,"","","","","",""
112058,112,4,105911,0,"","","","","",""
112059,112,3,105811,wac_215_idle_joy1,1,"","",0.2,"",""
112060,112,3,105911,wac_215_idle_normal,1,"","",0.2,"",""
112061,112,3,106431,wac_215_idle_surprise1,1,"","",0.2,"",""
112062,112,3,106011,wac_215_kyaru_anger,1,wac_215_talk_anger2,1,0.2,0.2,""
112063,112,21,vo_wac_220215,vo_wac_220215_011,0,0,"","","",""
112064,112,11,106011,"待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！",10,1,1,0,0,0.5
112065,112,91,112064,"","","","","","",""
112066,112,3,106011,wac_215_idle_anger2,1,"","",0.2,"",""
112067,112,3,106011,wac_215_talk_sad,1,"","",0.2,"",""
112068,112,21,vo_wac_220215,vo_wac_220215_012,0,0,"","","",""
112069,112,11,106011,"普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……",10,1,1,0,0,0.5
112070,112,91,112069,"","","","","","",""
112071,112,3,106011,wac_215_idle_sad,1,"","",0.2,"",""
112072,112,3,105911,wac_215_coccoro_talk_wish2,1,"","",0.2,"",""
112073,112,21,vo_wac_220215,vo_wac_220215_013,0,0,"","","",""
112074,112,11,105911,"キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……",10,1,1,0,0,0.5
112075,112,91,112074,"","","","","","",""
112076,112,3,105911,wac_215_coccoro_idle_wish2,1,"","",0.2,"",""
112077,112,3,106011,wac_215_kyaru_talk_doya,0,wac_215_kyaru_talk_doya_loop,1,0.2,0,""
112078,112,21,vo_wac_220215,vo_wac_220215_014,0,0,"","","",""
112079,112,11,106011,"超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。",10,1,1,0,0,0.5
112080,112,91,112079,"","","","","","",""
112081,112,3,106011,wac_215_idle_arm_crossed,1,"","",0.2,"",""
112082,112,4,105811,1,"","","","","",""
112083,112,4,105911,1,"","","","","",""
112084,112,3,105911,wac_215_idle_normal_joy,1,"","",0.2,"",""
112085,112,3,106431,wac_215_idle_normal2_joy,1,"","",0.2,"",""
112086,112,3,118511,wac_215_karin_talk_wish,1,"","",0.2,"",""
112087,112,21,vo_wac_220215,vo_wac_220215_015,0,0,"","","",""
112088,112,11,118511,"分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！",10,1,1,0,0,0.5
112089,112,91,112088,"","","","","","",""
112090,112,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
112091,112,3,118511,wac_215_karin_talk_normal,1,"","",0.2,"",""
112092,112,21,vo_wac_220215,vo_wac_220215_016,0,0,"","","",""
112093,112,11,118511,"では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！",10,1,1,0,0,0.5
112094,112,91,112093,"","","","","","",""
112095,112,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
112096,112,3,105811,wac_215_peko_talk_wish,0,wac_215_peko_talk_wish_loop,1,0.2,0.2,""
112097,112,21,vo_wac_220215,vo_wac_220215_017,0,0,"","","",""
112098,112,11,105811,"わかりました！\nそれじゃあわたしは、魔物料理の絵を――",10,1,1,0,0,0.5
112099,112,91,112098,"","","","","","",""
112100,112,3,105811,wac_215_peko_idle_wish,1,"","",0.2,"",""
112101,112,3,106011,wac_215_kyaru_talk_anger,0,wac_215_talk_arm_crossed_loop,1,0.2,0.2,""
112102,112,21,vo_wac_220215,vo_wac_220215_018,0,0,"","","",""
112103,112,11,106011,"気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！",10,1,1,0,0,0.5
112104,112,91,112103,"","","","","","",""
112105,112,3,106011,wac_215_idle_arm_crossed,1,"","",0.2,"",""
112106,112,3,105811,wac_215_cmn_eieio,0,wac_215_cmn_eieio_loop,1,0.2,0,""
112107,112,3,106431,wac_215_cmn_eieio,0,wac_215_cmn_eieio_loop,1,0.2,0,""
112108,112,93,0.1,"","","","","","",""
112109,112,3,105911,wac_215_cmn_eieio,0,wac_215_cmn_eieio_loop,1,0.2,0,""
112110,112,3,106011,wac_215_cmn_eieio,0,wac_215_cmn_eieio_loop,1,0.2,0.2,""
112111,112,93,0.9,"","","","","","",""
112112,112,3,118511,wac_215_handclap,0,wac_215_karin_idle_normal,1,0.2,0.2,""
112113,112,93,2,0,"","","","","",""
112114,112,91,0,"","","","","","",""
113001,113,3,118511,wac_215_karin_idle_normal,1,"","",0.2,"",""
113002,113,3,105811,wac_215_idle_joy1,1,"","",0.2,"",""
113003,113,93,0.1,"","","","","","",""
113004,113,3,105911,wac_215_coccoro_idle_wish,1,"","",0.2,"",""
113005,113,3,106011,wac_215_idle_arm_crossed,1,"","",0.2,"",""
113006,113,93,0.1,"","","","","","",""
113007,113,3,106431,wac_215_idle_normal2_joy,1,"","",0.2,"",""
113008,113,91,0,"","","","","","",""
211001,211,1,1,105811,202,-108,-212.75,2,0,wac_default_11
211002,211,5,1,111,201,-108,-212.75,2,0,wac_default_11
211003,211,31,1,1,0,0,1,1,"",""
211004,211,31,2,2,0,0,1,0,"",""
211005,211,31,11,11,0,0,1,0,"",""
211006,211,131,1,"","","","","","",""
211007,211,3,105811,wac_paint_11,0,"",0,0.2,"",""
211008,211,3,111,wac_paint_11,0,"",0,0.2,"",""
211009,211,93,0.3,0,"","","","","",""
211010,211,32,11,1,"","","","","",wac_default_11
211011,211,23,se_10035700,se_10035700_roller,0,"","","","",""
212001,212,3,105811,wac_talk_kyapi_in,0,wac_talk_kyapi_loop,1,0.2,"",""
212002,212,3,111,wac_no_items,1,"","",0.2,"",""
212003,212,2,105811,200,-340,0,"","","",""
212004,212,2,111,200,-340,0,"","","",""
212005,212,32,1,0,"","","","","",""
212006,212,32,2,1,"","","","","",""
212007,212,32,11,0,"","","","","",""
212008,212,21,vo_wac_220216,vo_wac_220216_000,0,0,"","","",""
212009,212,11,105811,"えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！",10,1,1,0,0,0.5
212010,212,91,0,"","","","","","",""
212011,212,21,vo_wac_220216,vo_wac_220216_001,0,0,"","","",""
212012,212,11,105811,"みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆",10,1,1,0,0,0.5
212013,212,91,0,"","","","","","",""
212014,212,22,0,0,"","","","","",""
213001,213,3,105811,wac_idle_kyapi,1,"","",0.2,"",""
213002,213,3,111,wac_no_items,1,"","",0.2,"",""
213003,213,2,105811,200,-340,0,"","","",""
213004,213,2,111,200,-340,0,"","","",""
213005,213,32,1,0,"","","","","",""
213006,213,32,2,1,"","","","","",""
213007,213,32,11,0,"","","","","",""
213008,213,91,0,"","","","","","",""
311001,311,1,1,105911,202,-108,-212.75,2,0,wac_default_01
311002,311,5,1,111,201,-108,-212.75,2,0,wac_default_03
311003,311,31,1,1,0,0,1,1,"",""
311004,311,31,2,2,0,0,1,0,"",""
311005,311,31,11,11,0,0,1,0,"",""
311006,311,131,1,"","","","","","",""
311007,311,3,105911,wac_paint_01,0,"","",0.2,"",""
311008,311,3,111,wac_paint_03,0,"","",0.2,"",""
311009,311,32,11,1,"","","","","",wac_default_11
311010,311,23,se_10035700,se_10035700_brush,0,"","","","",""
312001,312,3,105911,wac_talk_wish_in,0,wac_talk_wish_loop,1,0.2,"",""
312002,312,3,111,wac_no_items,1,"","",0.2,"",""
312003,312,2,105911,200,-340,0,"","","",""
312004,312,2,111,200,-340,0,"","","",""
312005,312,32,1,0,"","","","","",""
312006,312,32,2,1,"","","","","",""
312007,312,32,11,0,"","","","","",""
312008,312,21,vo_wac_220217,vo_wac_220217_000,0,0,"","","",""
312009,312,11,105911,"ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――",10,1,1,0,0,0.5
312010,312,91,0,"","","","","","",""
312011,312,21,vo_wac_220217,vo_wac_220217_001,0,0,"","","",""
312012,312,11,105911,"いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪",10,1,1,0,0,0.5
312013,312,91,0,"","","","","","",""
312014,312,22,0,0,"","","","","",""
313001,313,3,105911,wac_idle_wish,1,"","",0.2,"",""
313002,313,3,111,wac_no_items,1,"","",0.2,"",""
313003,313,2,105911,200,-340,0,"","","",""
313004,313,2,111,200,-340,0,"","","",""
313005,313,32,1,0,"","","","","",""
313006,313,32,2,1,"","","","","",""
313007,313,32,11,0,"","","","","",""
313008,313,91,0,"","","","","","",""
