command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
4514001,4514,25,bgm_M321,bgm_M321_2C,"","","","","",""
4514002,4514,1,1,105811,250,-1000,-70,2,0,wac_birthday_idle_normal
4514003,4514,1,1,106011,256,200,-270,2,1,wac_birthday_idle_doya
4514004,4514,1,1,105911,258,320,-310,2,1,wac_birthday_idle_wish
4514005,4514,1,1,106431,257,440,-290,2,1,wac_birthday_idle_smile
4514006,4514,13,105811,300,"","","","","",""
4514007,4514,13,106011,300,"","","","","",""
4514008,4514,31,600,600,0,0,1,1,"",""
4514009,4514,31,602,602,0,0,1,0,"",""
4514010,4514,31,603,603,0,0,1,0,"",""
4514011,4514,31,604,604,30,60,1,1,"",""
4514012,4514,31,611,611,0,0,1,1,"",""
4514013,4514,31,700,700,0,0,1,0,"",""
4514014,4514,31,701,701,0,0,1,0,"",""
4514015,4514,31,702,702,0,0,1,0,"",""
4514016,4514,31,800,800,0,0,1,0,"",""
4514017,4514,31,900,900,30,60,1,1,"",""
4514018,4514,93,1,"","","","","","",""
4514019,4514,3,105911,wac_birthday_reaction_01,0,wac_birthday_reaction_03,1,0.2,0.2,""
4514020,4514,93,0.1,"","","","","","",""
4514021,4514,3,106011,wac_birthday_reaction_05,0,wac_birthday_reaction_04,1,0.2,0.2,""
4514022,4514,3,106431,wac_birthday_reaction_02,0,wac_birthday_reaction_03,1,0.2,0.2,""
4514023,4514,93,0.3,"","","","","","",""
4514024,4514,3,105811,wac_birthday_run_01,1,"","",0.2,"",""
4514025,4514,2,105811,0,-70,3,"","","",""
4514026,4514,93,2.5,"","","","","","",""
4514027,4514,32,602,1,"","","","","",""
4514028,4514,93,0.6,"","","","","","",""
4514029,4514,32,600,0,"","","","","",""
4514030,4514,32,611,0,"","","","","",""
4514031,4514,32,604,0,"","","","","",""
4514032,4514,32,701,1,"","","","","",""
4514033,4514,33,900,0,0,0.01,"","","",""
4514034,4514,3,105811,wac_birthday_blowout_02,0,wac_birthday_wish_02,1,0.2,0.2,""
4514035,4514,2,105811,-200,-330,0.01,"","","",""
4514036,4514,3,106011,wac_birthday_idle_doya,1,"","",0.2,"",""
4514037,4514,2,106011,180,-320,0.01,"","","",""
4514038,4514,3,105911,wac_birthday_idle_wish,1,"","",0.2,"",""
4514039,4514,2,105911,300,-360,0.01,"","","",""
4514040,4514,3,106431,wac_birthday_idle_smile,1,"","",0.2,"",""
4514041,4514,2,106431,420,-340,0.01,"","","",""
4514042,4514,93,0,"","","","","","",""
4514043,4514,32,800,1,"","","","","",""
4514044,4514,93,0.7,"","","","","","",""
4514045,4514,32,702,1,"","","","","",""
4514046,4514,93,0.5,"","","","","","",""
4514047,4514,23,se_common,se_sys_login_birthday_blow_candle,0,"","","","",""
4514048,4514,32,701,0,"","","","","",""
4514049,4514,93,0.4,"","","","","","",""
4514050,4514,23,se_common,se_sys_login_birthday_cracker,0,"","","","",""
4514051,4514,32,700,1,"","","","","",""
4514052,4514,23,se_common,se_sys_login_birthday_calendar_applause,0,"","","","",""
4514053,4514,3,106011,wac_birthday_clap,0,wac_birthday_idle_doya,1,0.2,0.2,""
4514054,4514,93,0.1,"","","","","","",""
4514055,4514,3,105911,wac_birthday_clap_to_wish,0,wac_birthday_idle_wish,1,0.2,0.2,""
4514056,4514,93,0.1,"","","","","","",""
4514057,4514,3,106431,wac_birthday_clap,0,wac_birthday_idle_smile,1,0.2,0.2,""
4514058,4514,93,2,"","","","","","",""
4514059,4514,131,1,"","","","","","",""
4514060,4514,21,vo_wac_04514,vo_wac_04514_000,0,0,"","","",""
4514061,4514,11,105811,"これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪",10,1,1,0,0,0.5
4514062,4514,91,0,"","","","","","",""
4514063,4514,3,105811,wac_birthday_idle_kyapi,1,"","",0.2,"",""
4514064,4514,3,106011,wac_birthday_talk_normal,1,"","",0.2,"",""
4514065,4514,21,vo_wac_04514,vo_wac_04514_001,0,0,"","","",""
4514066,4514,11,106011,"ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。",10,1,1,0,0,0.5
4514067,4514,91,0,"","","","","","",""
4514068,4514,3,106011,wac_birthday_idle_doya,1,"","",0.2,"",""
4514069,4514,3,105811,wac_birthday_talk_kyapi,1,"","",0.2,"",""
4514070,4514,21,vo_wac_04514,vo_wac_04514_002,0,0,"","","",""
4514071,4514,11,105811,"えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪",10,1,1,0,0,0.5
4514072,4514,91,0,"","","","","","",""
4514073,4514,3,105811,wac_birthday_talk_wish,1,"","",0.2,"",""
4514074,4514,21,vo_wac_04514,vo_wac_04514_003,0,0,"","","",""
4514075,4514,11,105811,"今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！",10,1,1,0,0,0.5
4514076,4514,91,0,"","","","","","",""
4514077,4514,22,0,"","","","","","",""
4814001,4814,25,bgm_M321,bgm_M321_2C,"","","","","",""
4814002,4814,1,1,102011,250,-1000,-70,2,0,wac_birthday_idle_normal
4814003,4814,1,1,103611,256,230,-270,2,1,wac_birthday_idle_doya
4814004,4814,1,1,100411,257,410,-310,2,1,wac_birthday_idle_kyapi
4814005,4814,13,102011,300,"","","","","",""
4814006,4814,13,103611,300,"","","","","",""
4814007,4814,31,600,600,0,0,1,1,"",""
4814008,4814,31,602,602,0,0,1,0,"",""
4814009,4814,31,603,603,0,0,1,0,"",""
4814010,4814,31,604,604,30,60,1,1,"",""
4814011,4814,31,611,611,0,0,1,1,"",""
4814012,4814,31,700,700,0,0,1,0,"",""
4814013,4814,31,701,701,0,0,1,0,"",""
4814014,4814,31,702,702,0,0,1,0,"",""
4814015,4814,31,800,800,0,0,1,0,"",""
4814016,4814,31,901,901,30,60,1,1,"",""
4814017,4814,93,1,"","","","","","",""
4814018,4814,3,100411,wac_birthday_reaction_02,0,wac_birthday_reaction_03,1,0.2,0.2,""
4814019,4814,93,0.1,"","","","","","",""
4814020,4814,3,103611,wac_birthday_reaction_01,0,wac_birthday_reaction_04,1,0.2,0.2,""
4814021,4814,93,0.3,"","","","","","",""
4814022,4814,3,102011,wac_birthday_run_01,1,"","",0.2,"",""
4814023,4814,2,102011,0,-70,3,"","","",""
4814024,4814,93,2.5,"","","","","","",""
4814025,4814,32,602,1,"","","","","",""
4814026,4814,93,0.6,"","","","","","",""
4814027,4814,32,600,0,"","","","","",""
4814028,4814,32,611,0,"","","","","",""
4814029,4814,32,604,0,"","","","","",""
4814030,4814,32,701,1,"","","","","",""
4814031,4814,33,901,0,0,0.01,"","","",""
4814032,4814,3,102011,wac_birthday_blowout_02,0,wac_birthday_wish_02,1,0.2,0.2,""
